date,station,half_day,PM2.5,PM10,NO2,PM2.5_count,PM10_count,NO2_count
2014-01-01,Aotizhongxin,0,53.666667,232.916667,81.500000,12,12,12
2014-01-01,Aotizhongxin,1,43.500000,105.416667,57.500000,12,12,12
2014-01-01,Changping,0,28.083333,98.333333,25.166667,12,12,12
2014-01-01,Changping,1,49.000000,92.416667,45.583333,12,12,12
2014-01-01,Dingling,0,29.666667,90.083333,13.000000,12,12,12
2014-01-01,Dingling,1,38.916667,73.833333,19.750000,12,12,12
2014-01-01,Dongsi,0,62.750000,123.083333,73.750000,12,12,12
2014-01-01,Dongsi,1,49.416667,76.416667,56.083333,12,12,12
2014-01-02,Aotizhongxin,0,121.833333,179.000000,78.583333,12,12,12
2014-01-02,Aotizhongxin,1,181.583333,205.333333,108.833333,12,12,12
2014-01-02,Changping,0,113.166667,150.333333,68.500000,12,12,12
2014-01-02,Changping,1,118.583333,159.916667,87.166667,12,12,12
2014-01-02,Dingling,0,52.833333,87.916667,41.833333,12,12,12
2014-01-02,Dingling,1,128.250000,121.250000,80.000000,12,12,12
2014-01-02,Dongsi,0,118.250000,158.250000,81.333333,12,12,12
2014-01-02,Dongsi,1,140.500000,181.416667,103.666667,12,12,12
2014-01-03,Aotizhongxin,0,66.750000,149.250000,47.333333,12,12,12
2014-01-03,Aotizhongxin,1,34.250000,80.166667,48.916667,12,12,12
2014-01-03,Changping,0,39.636364,115.090909,32.818182,11,11,11
2014-01-03,Changping,1,32.083333,57.416667,34.500000,12,12,12
2014-01-03,Dingling,0,33.833333,84.916667,15.250000,12,12,12
2014-01-03,Dingling,1,37.250000,48.333333,21.750000,12,12,12
2014-01-03,Dongsi,0,62.583333,123.916667,51.818182,12,12,11
2014-01-03,Dongsi,1,38.583333,59.583333,48.000000,12,12,12
2014-01-04,Aotizhongxin,0,78.250000,113.250000,65.250000,12,12,12
2014-01-04,Aotizhongxin,1,164.750000,203.166667,92.000000,12,12,12
2014-01-04,Changping,0,76.500000,108.916667,64.666667,12,12,12
2014-01-04,Changping,1,137.916667,150.833333,69.666667,12,12,12
2014-01-04,Dingling,0,64.583333,85.750000,49.333333,12,12,12
2014-01-04,Dingling,1,134.000000,118.500000,64.000000,12,12,12
2014-01-04,Dongsi,0,83.250000,94.500000,62.250000,12,12,12
2014-01-04,Dongsi,1,177.250000,182.000000,90.416667,12,12,12
2014-01-05,Aotizhongxin,0,129.916667,161.916667,83.333333,12,12,12
2014-01-05,Aotizhongxin,1,50.333333,71.583333,58.083333,12,12,12
2014-01-05,Changping,0,84.083333,81.166667,55.083333,12,12,12
2014-01-05,Changping,1,42.083333,56.000000,41.333333,12,12,12
2014-01-05,Dingling,0,68.500000,61.583333,42.083333,12,12,12
2014-01-05,Dingling,1,51.583333,61.916667,25.166667,12,12,12
2014-01-05,Dongsi,0,132.083333,109.083333,79.916667,12,12,12
2014-01-05,Dongsi,1,49.583333,47.916667,49.666667,12,12,12
2014-01-06,Aotizhongxin,0,110.833333,115.750000,61.272727,12,12,11
2014-01-06,Aotizhongxin,1,139.583333,148.083333,73.000000,12,12,12
2014-01-06,Changping,0,136.200000,155.300000,70.800000,10,10,10
2014-01-06,Changping,1,178.909091,177.090909,73.636364,11,11,11
2014-01-06,Dingling,0,117.750000,149.916667,64.666667,12,12,12
2014-01-06,Dingling,1,178.000000,204.416667,71.250000,12,12,12
2014-01-06,Dongsi,0,118.916667,93.916667,58.090909,12,12,11
2014-01-06,Dongsi,1,148.666667,125.916667,66.416667,12,12,12
2014-01-07,Aotizhongxin,0,171.750000,173.416667,80.916667,12,12,12
2014-01-07,Aotizhongxin,1,38.333333,24.750000,41.333333,12,12,12
2014-01-07,Changping,0,160.166667,151.000000,66.250000,12,12,12
2014-01-07,Changping,1,17.833333,24.250000,28.166667,12,12,12
2014-01-07,Dingling,0,134.500000,146.250000,56.583333,12,12,12
2014-01-07,Dingling,1,9.666667,22.416667,10.285714,12,12,7
2014-01-07,Dongsi,0,171.166667,149.000000,80.500000,12,12,12
2014-01-07,Dongsi,1,34.833333,15.333333,44.250000,12,12,12
2014-01-08,Aotizhongxin,0,11.333333,13.666667,12.250000,12,12,12
2014-01-08,Aotizhongxin,1,19.083333,18.416667,29.583333,12,12,12
2014-01-08,Changping,0,12.083333,11.916667,13.250000,12,12,12
2014-01-08,Changping,1,25.083333,33.750000,31.416667,12,12,12
2014-01-08,Dingling,0,9.833333,8.250000,5.000000,12,12,1
2014-01-08,Dingling,1,19.083333,31.000000,9.166667,12,12,12
2014-01-08,Dongsi,0,15.666667,6.750000,20.000000,12,12,12
2014-01-08,Dongsi,1,19.333333,12.166667,27.250000,12,12,12
2014-01-09,Aotizhongxin,0,38.000000,35.166667,36.166667,12,12,12
2014-01-09,Aotizhongxin,1,34.000000,50.583333,42.750000,12,12,12
2014-01-09,Changping,0,22.250000,32.666667,32.666667,12,12,12
